DEPTH,ROW_ID,NU_MEAS,NU_PRED,G_MEAS_GPa,G_PRED_GPa,K_MEAS_GPa,K_PRED_GPa,E_MEAS_GPa,E_PRED_GPa,VPVS_MEAS,VPVS_PRED,NU_PRED_VALID,VPVS_PRED_VALID,G_PRED_VALID,K_PRED_VALID,E_PRED_VALID,ALL_GATES_VALID
2676.8288,13,0.0339225431156833,-0.692575006856923,9.16052364429747,13.3786388506469,6.7737466971677,1.14959308870184,18.9425438051668,8.22585591384764,1.43971631204067,1.19132734406751,0,0,1,1,1,0
2676.9812,14,0.0259877957180827,-0.593854412675584,9.5634355050325,13.4865132197288,6.89994056739849,1.66917028113678,19.6239362266007,10.9549756651705,1.43346613550439,1.20710364968044,0,0,1,1,1,0
2677.5908,18,0.00181178562278372,-0.388637631256627,10.6980230231106,13.7169731022924,7.17092137611344,3.14565460387111,21.4348110948322,16.7720823356132,1.4154987634278,1.25006361595182,0,0,1,1,1,0
2677.7432,19,0.0147182874237093,-0.354896595453739,10.7233909783967,13.7374483741528,7.47416098524624,3.45541779090483,21.7624418579471,17.7241494318889,1.42489626553839,1.25891463408649,0,0,1,1,1,0
2677.8956,20,0.0147182874237093,-0.36652116751018,10.7342629294651,13.8197930068147,7.48173869202506,3.36769858889228,21.7845057930853,17.5090926784159,1.42489626553839,1.25579454893454,0,0,1,1,1,0
2678.048,21,0.00181178562278372,-0.41442212505786,10.7088950158549,13.8717525797592,7.17820890998794,2.96106549144888,21.4565944757611,16.2459827947571,1.4154987634278,1.24370149908026,0,0,1,1,1,0
2678.5052,24,0.0728925246922518,-0.900989056761452,8.33446399883426,13.332933450171,6.97871506870951,0.3140891335939,17.8839682433319,2.64021263407644,1.47331786538507,1.16485652544345,0,0,1,1,1,0
2678.6576,25,0.116715896197541,-0.964124535375056,7.64731501291584,13.1370418909569,7.42693487975055,0.107299042362475,17.0797564763065,0.942594963270879,1.51806302843239,1.15823184415369,0,0,1,1,1,0
2678.81,26,0.186089823195544,-1.0470413290662,6.54266727647808,12.8203896023984,8.24035201426341,-0.129944420297062,15.5203821463703,-1.20617633208663,1.61022120517544,1.15030325181459,0,0,1,0,0,0
2678.9624,27,0.206407846594809,-0.92947756411421,6.03315900898624,12.081901836824,8.26367494700499,0.198684509888015,14.5569007363903,1.70409029533167,1.64409330325407,1.1617995255285,0,0,1,1,1,0
2679.1148,28,0.198748914459742,-0.769850269009847,6.02212947036265,11.4922770632677,7.98782312810234,0.69429300422895,14.4380423306665,5.28988894915073,1.63087248322205,1.18057071350024,0,0,1,1,1,0
2679.2672,29,0.184379499987607,-0.390580314037221,6.10005606948055,10.0956380160031,7.63024091399222,2.30279831862881,14.4495627149355,12.304961098613,1.60753880268017,1.24957259808447,0,0,1,1,1,0
2679.4196,30,0.167557546084041,-0.495792716282498,6.31631415121067,10.5292877565322,7.39442286809307,1.77712472766436,14.7493205013669,10.6178871584021,1.58240946046961,1.22560700465985,0,0,1,1,1,0
2679.572,31,0.154636220500406,-1.1110739462396,6.78224582522305,12.6692936709742,7.55823969871882,-0.291157428949404,15.6620533722804,-2.81445688820695,1.56452830198734,1.14470607001958,0,0,1,0,0,0
2679.7244,32,0.14709418433374,-0.972495260553773,7.34704651443859,13.2554045579298,7.96034329332414,0.0825325686692044,16.855508657484,0.729172897240394,1.55460883029396,1.15739347966629,0,0,1,1,1,0
2679.8768,33,0.0616247741479502,-0.333291068329314,9.87549258247379,13.2117715323694,7.97191307370005,3.52354114050584,20.968135164937,17.6168121676464,1.46307053939572,1.26492309345128,0,0,1,1,1,0
2680.7912,39,0.0222800253907759,-1.2757076326202,8.09371638524584,12.9254021622093,5.77328772194285,-0.668959980675108,16.5480891836297,-7.12726406161351,1.43060765192152,1.13206796847242,0,0,1,0,0,0
2680.9436,40,0.0484022556621665,-1.26829740311486,7.86402780458172,12.9181996959368,6.08555186725775,-0.653343987882307,16.4893289778269,-6.93183886267793,1.45161290324529,1.13258901014913,0,0,1,0,0,0
2681.096,41,0.0228538122730959,-1.13089179649727,8.38128837503926,13.1365891709287,5.98896312190998,-0.351437939275999,17.1456655323382,-3.43894351285879,1.4310474754591,1.14305762388426,0,0,1,0,0,0
2681.2484,42,0.0319237959319198,-0.900992751722569,8.79577614254547,13.4067211698538,6.46374146367471,0.315814760596957,18.1531414103659,2.65472514290001,1.43812451959888,1.16485612141971,0,0,1,1,1,0
2681.4008,43,0.0940959654920841,-0.439327084823862,9.09878160373603,13.2525488532567,8.17511808803915,2.63676175534494,19.9098804870824,14.8606903981392,1.49392712548798,1.23785942127152,0,0,1,1,1,0
2681.5532,44,0.0274999513453924,-0.503983199104315,9.5104164157933,13.0668458478192,6.89379287355039,2.15188696418247,19.5439048090041,12.9627501504647,1.43464314351522,1.2239347621145,0,0,1,1,1,0
2681.858,46,0.0133837429605642,-0.561100013158735,9.36443454759782,12.9053207929507,6.50051287523729,1.77933121476679,18.9795314651078,11.3282902524167,1.42390438252408,1.21293409415563,0,0,1,1,1,0
2682.62,51,0.0167239489565928,-2.11696320922201,7.53292097227613,12.8679551848743,5.28262686965675,-1.83075208047411,15.317802316221,-28.7460650388444,1.42639593905836,1.09135748034272,0,0,1,0,0,0
2682.7724,52,0.0830436891407917,-1.69056691821101,6.93603020585158,12.41886181749,6.00544433273091,-1.30499781612033,15.0240474842749,-17.1521102659849,1.48295866570728,1.1082650475306,0,0,1,0,0,0
2682.9248,53,0.0975506055764744,-1.22531010760557,6.7847884980849,11.7957217564428,6.16777233607062,-0.513472008406634,14.8932974495628,-5.31539067645898,1.49746192890141,1.13569492992239,0,0,1,0,0,0
2683.0772,54,0.0989534123904664,-1.11842395892158,6.7691644907696,11.6189506723005,6.18298608856084,-0.283395486813645,14.8779928323272,-2.75192427425668,1.49891225519581,1.14409026507761,0,0,1,0,0,0
