DEPTH,ROW_ID,NU_PRED,VPVS_PRED,G_PRED_GPa,K_PRED_GPa,E_PRED_GPa,NU_VALID,VPVS_VALID,G_VALID,K_VALID,E_VALID,ALL_GATES_VALID
2692.3736,115,0.065268782061315,1.46633418585964,6.92414734474645,5.65566163212712,14.7521560175023,1,1,1,1,1,1
2692.526,116,0.0510401243546378,1.45385187322197,7.20766132781581,5.62451247074444,15.1510825165873,1,1,1,1,1,1
2692.6784,117,0.0432028430466142,1.44726560819515,7.28655545364722,5.5468495877973,15.2027107305232,1,1,1,1,1,1
2692.8308,118,0.0397213004706802,1.44440242582561,7.3154717922377,5.50829446967666,15.2121036907639,1,1,1,1,1,1
2692.9832,119,0.0447410201120101,1.44854270733357,7.2500968903922,5.54590826745314,15.1489472423585,1,1,1,1,1,1
2693.1356,120,0.055579633438863,1.45775887939128,7.05248648421558,5.58364831885408,14.8889221956816,1,1,1,1,1,1
2693.288,121,0.0597648616046201,1.46142282786665,6.96045329751834,5.58523024190849,14.7528876510999,1,1,1,1,1,1
2693.4404,122,0.0615292293697341,1.46298560029545,6.83597798810956,5.51659003044882,14.5131808914128,1,1,1,1,1,1
2693.5928,123,0.0644506779475138,1.46559735707238,6.70043756614236,5.45845973403194,14.2645706196504,1,1,1,1,1,1
2693.7452,124,0.0704644056884495,1.47107031945761,6.5587321524309,5.44843423812531,14.0417786312433,1,1,1,1,1,1
2693.8976,125,0.0676401582292917,1.46848361500574,6.18798523436719,5.09339744080112,13.2130830694806,1,1,1,1,1,1
2694.05,126,0.0920038958264119,1.4918116160892,6.09230767388194,5.4353653922977,13.3056474289044,1,1,1,1,1,1
2694.2024,127,0.0992117756914537,1.49918032383597,6.23116405942877,5.69658196437469,13.6987378207789,1,1,1,1,1,1
2694.3548,128,0.0917286406551479,1.49153466894305,6.09110893521325,5.42926326303638,13.2996761558456,1,1,1,1,1,1
2694.5072,129,0.0836773812202954,1.48357395392234,6.26703673596514,5.43764671250123,13.5828919160842,1,1,1,1,1,1
2694.6596,130,0.071665446005907,1.47217928544784,6.59361368666258,5.49893215199674,14.1322959046158,1,1,1,1,1,1
2694.812,131,0.0636672574802984,1.46489401058064,6.92170965748597,5.62445064740973,14.724791856906,1,1,1,1,1,1
2694.9644,132,0.0512259324838525,1.45401044488948,7.09101310371946,5.53675550184243,14.9085137244254,1,1,1,1,1,1
2695.1168,133,0.0493029126709106,1.45237480355181,7.31635054472527,5.67792141886789,15.3541358734032,1,1,1,1,1,1
2695.2692,134,0.0569273592441038,1.45893218792624,7.38928397108828,5.87558763949189,15.6198727885342,1,1,1,1,1,1
2695.4216,135,0.0710781658979164,1.47163635597018,7.53882806523584,6.27517144550458,16.1493482742651,1,1,1,1,1,1
2695.574,136,0.0797678660419744,1.47980356056712,7.85490487053611,6.72761011883069,16.962947740043,1,1,1,1,1,1
2695.7264,137,0.151154971005631,1.55990422904992,6.50345215278629,7.15358841523299,14.9729625487544,1,1,1,1,1,1
2695.8788,138,0.142453100219459,1.54868264750155,4.59779615163578,4.89704191798567,10.5055329352268,1,1,1,1,1,1
2696.0312,139,0.212707470086845,1.65541123550612,3.53488406996423,4.97376932475116,8.57356063507323,1,1,1,1,1,1
2696.1836,140,0.218914664943476,1.66697907383348,3.67188028147069,5.30765117065649,8.95141744600281,1,1,1,1,1,1
2696.336,141,0.217111797595721,1.66357527230507,3.89485333039341,5.58580138494917,9.48094387665361,1,1,1,1,1,1
2696.4884,142,0.208867669424018,1.64846354708467,3.92377886030108,5.43089734806975,9.48665881237479,1,1,1,1,1,1
2696.6408,143,0.191179480396406,1.61835206259737,4.15504982612192,5.34227248376524,9.89882018580218,1,1,1,1,1,1
2696.7932,144,0.165978284002958,1.58016096081494,5.03815462730581,5.86227242676203,11.7487577737752,1,1,1,1,1,1
2696.9456,145,0.147838624282404,1.55557180199606,5.58420754819288,6.06707563804046,12.8195382196502,1,1,1,1,1,1
2697.098,146,0.122080806636662,1.52415030534417,5.76219198123599,5.70284612852356,12.9312900526012,1,1,1,1,1,1
2697.2504,147,0.0941185548415506,1.49395007050683,6.60797664791422,5.93762041164523,14.4598197208852,1,1,1,1,1,1
2697.4028,148,0.0872992486343126,1.48712191701511,6.7181954283697,5.89990755389756,14.6093776828897,1,1,1,1,1,1
2697.5552,149,0.0527133061277467,1.4552839148031,7.08809570224366,5.560738234249,14.9234653217176,1,1,1,1,1,1
2697.7076,150,0.0424618820583274,1.44665307680505,7.19118252314224,5.46150027238858,14.9930673345996,1,1,1,1,1,1
2697.86,151,0.0262998888297063,1.43370852122334,6.70234011426799,4.8403414959296,13.7572218283442,1,1,1,1,1,1
2698.0124,152,0.02394825745078,1.43188896106796,7.03344109767853,5.04278499733743,14.4037595117013,1,1,1,1,1,1
2698.1648,153,0.0285706749508658,1.43548053457214,7.25740703818297,5.27810190486773,14.929512111314,1,1,1,1,1,1
2698.3172,154,0.0423727498898105,1.44657950998729,7.37260759768135,5.59771826932887,15.3700105109072,1,1,1,1,1,1
2698.4696,155,0.036304467757168,1.44162885731683,7.28373276629845,5.42609268568603,15.0963296153287,1,1,1,1,1,1
2698.622,156,0.0454168030503362,1.44910616276557,7.52722327448395,5.77018372306771,15.7381713829142,1,1,1,1,1,1
2698.7744,157,0.0502561438485396,1.45318406448094,7.98886466914655,6.21861687594318,16.7807084022914,1,1,1,1,1,1
2698.9268,158,0.0573165917925472,1.45927220072828,8.20758212191816,6.53440103025593,17.3560255120079,1,1,1,1,1,1
2699.0792,159,0.0794557100432221,1.47950512510919,8.28773735749482,7.0910053372387,17.8924908277726,1,1,1,1,1,1
2699.2316,160,0.0909783332980029,1.49078138221726,8.41757365088502,7.48402934747751,18.3667809441115,1,1,1,1,1,1
2699.384,161,0.076171878127138,1.47638867206726,8.65027352855644,7.32150654877386,18.6183622190801,1,1,1,1,1,1
2700.146,166,0.101000964053148,1.50104492267007,7.29011527113429,6.70546644515918,16.0528478831549,1,1,1,1,1,1
2700.2984,167,0.114591596437912,1.51569294752522,6.86242631852461,6.61532254712041,15.2976054116038,1,1,1,1,1,1
2700.4508,168,0.112771887446886,1.51368046982933,6.43756761399464,6.16651531932112,14.3270885287835,1,1,1,1,1,1
2700.6032,169,0.104504114690705,1.50473773660944,6.24169815254768,5.81041130744415,13.7879625842926,1,1,1,1,1,1
2700.7556,170,0.0966637868166247,1.49654955486189,6.38330550308223,5.7853636384119,14.0006799708351,1,1,1,1,1,1
2700.908,171,0.099679204424655,1.4996660685518,6.27427795398893,5.74513662129842,13.7993859775634,1,1,1,1,1,1
